molecule_chembl_id,canonical_smiles,bioactivity_class,MW,LogP,NumHDonors,NumHAcceptors,pIC50
CHEMBL183872,NS(=O)(=O)c1ccccc1-c1ccc(CNC(=O)CCCC(=O)NCc2ccc(-c3cccs3)s2)cc1,intermediate,553.7310000000003,4.893900000000004,3.0,6.0,5.494850021680094
CHEMBL182564,CC(C(=O)NCc1ccc(-c2ccccc2S(N)(=O)=O)cc1)C(C)C(=O)NCc1ccc(-c2cccs2)s1,intermediate,567.7580000000003,4.995800000000004,3.0,6.0,5.853871964321762
CHEMBL361169,CC(C)(CC(=O)NCc1ccc(-c2ccccc2S(N)(=O)=O)cc1)C(=O)NCc1ccc(-c2cccs2)s1,intermediate,567.7580000000003,5.139900000000004,3.0,6.0,5.638272163982407
CHEMBL361535,C=C1[C@H](C(=O)NCc2ccc(-c3ccccc3S(N)(=O)=O)cc2)[C@H]1C(=O)NCc1ccc(-c2cccs2)s1,active,563.7260000000002,4.525800000000003,3.0,6.0,6.075720713938118
CHEMBL360344,NS(=O)(=O)c1ccccc1-c1ccc(CNC(=O)[C@H]2CC[C@@H]2C(=O)NCc2ccc(-c3cccs3)s2)cc1,active,565.7420000000003,4.749800000000004,3.0,6.0,6.6777807052660805
CHEMBL181351,NS(=O)(=O)c1ccccc1-c1ccc(CNC(=O)[C@H]2CCC[C@@H]2C(=O)NCc2ccc(-c3cccs3)s2)cc1,active,579.7690000000003,5.139900000000004,3.0,6.0,6.431798275933005
CHEMBL434714,NS(=O)(=O)c1ccccc1-c1ccc(CNC(=O)[C@H]2CCC[C@H]2C(=O)NCc2ccc(-c3cccs3)s2)cc1,intermediate,579.7690000000003,5.139900000000004,3.0,6.0,5.795880017344075
CHEMBL368692,NS(=O)(=O)c1ccccc1-c1ccc(CNC(=O)[C@H]2CCCC[C@@H]2C(=O)NCc2ccc(-c3cccs3)s2)cc1,intermediate,593.7960000000004,5.530000000000005,3.0,6.0,5.853871964321762
CHEMBL197243,COc1cccc(CN2CCCCCCC2)c1OCc1csc(-c2ccccc2)n1,intermediate,422.5940000000001,6.163800000000007,0.0,5.0,5.3979400086720375
CHEMBL197304,COc1cccc(CN2CCCCCCC2)c1OCc1csc(-c2ccc(Cl)cc2)n1,intermediate,457.039,6.817200000000007,0.0,5.0,5.42021640338319
CHEMBL195180,Clc1ccc(-c2nc(COc3ccccc3CN3CCCCCCC3)cs2)cc1,intermediate,427.0130000000003,6.8086000000000055,0.0,4.0,5.5376020021010435
CHEMBL196948,COc1cccc(C(=O)N2CCCCCCC2)c1OCc1csc(-c2ccc(Cl)cc2)n1,inactive,471.0220000000001,6.457400000000007,0.0,5.0,4.7121982700697735
CHEMBL370432,O=C(c1ccccc1OCc1csc(-c2ccc(Cl)cc2)n1)N1CCCCCCC1,inactive,440.9960000000003,6.448800000000006,0.0,4.0,4.5376020021010435
CHEMBL193605,COc1cccc(C(=O)N2CCCCCC2)c1OCc1csc(-c2ccc(Cl)cc2)n1,intermediate,456.99500000000006,6.067300000000006,0.0,5.0,5.187086643357144
CHEMBL426096,O=C(c1ccccc1OCc1csc(-c2ccc(Cl)cc2)n1)N1CCCCCC1,inactive,426.9690000000003,6.058700000000005,0.0,4.0,4.3979400086720375
CHEMBL196345,COc1cccc(C(=O)N2CCCCC2)c1OCc1csc(-c2ccc(Cl)cc2)n1,intermediate,442.968,5.677200000000005,0.0,5.0,5.431798275933005
CHEMBL372292,O=C(c1ccccc1OCc1csc(-c2ccc(Cl)cc2)n1)N1CCCCC1,intermediate,412.9420000000002,5.668600000000005,0.0,4.0,5.130768280269024
CHEMBL364912,COc1cccc(C(=O)N2CCCC2)c1OCc1csc(-c2ccc(Cl)cc2)n1,intermediate,428.941,5.287100000000005,0.0,5.0,5.886056647693163
CHEMBL364912,COc1cccc(C(=O)N2CCCC2)c1OCc1csc(-c2ccc(Cl)cc2)n1,intermediate,428.941,5.287100000000005,0.0,5.0,5.886056647693163
CHEMBL195235,O=C(c1ccccc1OCc1csc(-c2ccc(Cl)cc2)n1)N1CCCC1,active,398.9150000000002,5.278500000000005,0.0,4.0,6.0
CHEMBL195235,O=C(c1ccccc1OCc1csc(-c2ccc(Cl)cc2)n1)N1CCCC1,active,398.9150000000002,5.278500000000005,0.0,4.0,6.0
CHEMBL194491,COc1cccc(C(=O)N2CCCC2)c1OCc1ccc(C(C)(C)C)cc1,inactive,367.489,4.807700000000005,0.0,3.0,4.045757490560675
CHEMBL371314,COc1cccc(C(=O)N2CCCC2)c1OC(C)c1ccccc1,inactive,325.408,4.071200000000004,0.0,3.0,4.522878745280337
CHEMBL197410,COc1cccc(C(=O)N2CCCC2)c1OCCc1ccccc1,inactive,325.4079999999999,3.5527000000000024,0.0,3.0,4.522878745280337
CHEMBL193449,COc1cccc(C(=O)N2CCCC2)c1OCCCc1ccccc1,inactive,339.43499999999995,3.9428000000000014,0.0,3.0,4.6777807052660805
CHEMBL197052,COc1cccc(C(=O)N2CCCC2)c1OCc1ccc(-c2ccccc2)cc1,intermediate,387.479,5.1772000000000045,0.0,3.0,5.3979400086720375
CHEMBL196392,COc1cccc(C(=O)N2CCCC2)c1OCc1nc(-c2ccc(Cl)cc2)no1,active,413.8610000000001,4.213600000000003,0.0,6.0,6.0655015487564325
CHEMBL196036,COc1cccc(C(=O)N2CCCC2)c1OCc1ccc(-c2cccs2)s1,active,399.537,5.300200000000004,0.0,5.0,6.259637310505756
CHEMBL195496,COc1cccc(C(=O)N2CCCC2)c1OC(C)c1csc(-c2ccc(Cl)cc2)n1,intermediate,442.968,5.848100000000005,0.0,5.0,5.657577319177793
CHEMBL191351,O=C(c1cccc(O)c1OCc1csc(-c2ccc(Cl)cc2)n1)N1CCCC1,inactive,414.9140000000002,4.984100000000004,1.0,5.0,4.522878745280337
CHEMBL196703,Cc1cccc(C(=O)N2CCCC2)c1OCc1csc(-c2ccc(Cl)cc2)n1,active,412.94200000000006,5.5869200000000045,0.0,4.0,6.259637310505756
CHEMBL363582,O=C(c1cccc(Cl)c1OCc1csc(-c2ccc(Cl)cc2)n1)N1CCCC1,active,433.3600000000002,5.931900000000004,0.0,4.0,6.136677139879544
CHEMBL371052,CCOc1cccc(C(=O)N2CCCC2)c1OCc1csc(-c2ccc(Cl)cc2)n1,intermediate,442.968,5.677200000000005,0.0,5.0,5.180456064458132
CHEMBL372614,CC(C)Oc1cccc(C(=O)N2CCCC2)c1OCc1csc(-c2ccc(Cl)cc2)n1,intermediate,456.99500000000006,6.065700000000006,0.0,5.0,5.1249387366083
CHEMBL372177,CC(C)(C)Oc1cccc(C(=O)N2CCCC2)c1OCc1csc(-c2ccc(Cl)cc2)n1,inactive,471.0220000000001,6.455800000000007,0.0,5.0,4.657577319177793
CHEMBL400895,CN1C(=O)[C@H](NC(=O)[C@@H](Cc2ccccc2)NC(=O)OC(C)(C)C)N=C(c2ccccc2)c2ccccc21,active,512.6100000000002,4.078700000000002,2.0,5.0,6.903089986991944
CHEMBL400488,CC(C)N1C(=O)[C@H](NC(=O)[C@H](Cc2ccccc2OC(F)(F)F)NC(=O)OC(C)(C)C)CCc2ccccc21,active,549.5900000000003,4.893600000000004,2.0,5.0,6.669586226650809
CHEMBL247829,CC(C)N1C(=O)[C@@H](NC(=O)[C@@H](Cc2ccccc2OC(F)(F)F)NC(=O)OC(C)(C)C)CCc2ccccc21,active,549.5900000000003,4.893600000000004,2.0,5.0,7.494850021680094
CHEMBL247828,CC(C)N1C(=O)[C@H](NC(=O)[C@@H](Cc2ccccc2OC(F)(F)F)NC(=O)OC(C)(C)C)CCc2ccccc21,active,549.5900000000003,4.893600000000004,2.0,5.0,7.455931955649724
CHEMBL247648,CC(C)N1C(=O)[C@H](NC(=O)[C@@H](Cc2c(F)cccc2C(F)(F)F)NC(=O)OC(C)(C)C)CCc2ccccc21,active,551.5810000000002,5.152900000000004,2.0,4.0,7.494850021680094
CHEMBL247647,CC(C)N1C(=O)[C@H](NC(=O)[C@@H](Cc2cccc(F)c2C(F)(F)F)NC(=O)OC(C)(C)C)CCc2ccccc21,active,551.5810000000002,5.152900000000005,2.0,4.0,7.187086643357144
CHEMBL245599,CC(C)N1C(=O)[C@H](NC(=O)[C@@H](Cc2ccc(C(F)(F)F)cc2)NC(=O)OC(C)(C)C)CCc2ccccc21,active,533.5910000000002,5.013800000000005,2.0,4.0,6.0
CHEMBL245598,CC(C)N1C(=O)[C@H](NC(=O)[C@@H](Cc2cccc(C(F)(F)F)c2)NC(=O)OC(C)(C)C)CCc2ccccc21,active,533.5910000000002,5.013800000000005,2.0,4.0,6.530177984021837
CHEMBL400468,CC(C)N1C(=O)[C@H](NC(=O)[C@@H](Cc2ccccc2C(F)(F)F)NC(=O)OC(C)(C)C)CCc2ccccc21,active,533.5910000000002,5.013800000000004,2.0,4.0,6.863279432843593
CHEMBL248196,CC(C)N1C(=O)[C@H](NC(=O)[C@@H](Cc2c(F)cccc2F)NC(=O)OC(C)(C)C)CCc2ccccc21,active,501.5740000000003,4.273200000000003,2.0,4.0,7.853871964321762
CHEMBL248195,CC(C)N1C(=O)[C@H](NC(=O)[C@@H](Cc2cc(F)ccc2F)NC(=O)OC(C)(C)C)CCc2ccccc21,active,501.5740000000003,4.273200000000003,2.0,4.0,7.638272163982407
CHEMBL399232,CC(C)N1C(=O)[C@H](NC(=O)[C@@H](Cc2ccc(F)cc2)NC(=O)OC(C)(C)C)CCc2ccccc21,active,483.5840000000003,4.134100000000003,2.0,4.0,7.008773924307505
CHEMBL248009,CC(C)N1C(=O)[C@H](NC(=O)[C@@H](Cc2cccc(F)c2)NC(=O)OC(C)(C)C)CCc2ccccc21,active,483.5840000000003,4.134100000000003,2.0,4.0,8.045757490560675
CHEMBL445940,CC(C)N1C(=O)[C@H](NC(=O)[C@@H](Cc2ccccc2F)NC(=O)OC(C)(C)C)CCc2ccccc21,active,483.5840000000003,4.134100000000003,2.0,4.0,7.356547323513812
